UID,Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval, ITL 
45,I need financial help to pay off my high-interest payday loans.,"? 69,780.00",603,4832,27.61,employed,Approved, 0.07 
46,I need funds to launch my handmade jewelry brand online.,"? 34,985.00",351,16623,123.72,employed,Rejected, 0.48 
47,I need a loan to relocate to a new city after getting a job offer.,"? 153,124.00",382,9981,11.22,employed,Rejected, 0.07 
48,I need a loan to finance my MBA and career advancement.,"? 125,847.00",422,33271,33.64,employed,Rejected, 0.26 
49,I need a loan to cover emergency expenses after a natural disaster.,"? 129,897.00",835,35179,19.81,employed,Approved, 0.27 
50,I need funds to launch my handmade jewelry brand online.,"? 82,570.00",571,9577,37.47,unemployed,Rejected, 0.12 
51,I need financial help to cover unexpected veterinary bills for my pet.,"? 102,883.00",374,61068,5.45,employed,Rejected, 0.59 
52,I need money to purchase updated equipment for my photography business.,"? 160,937.00",518,35760,23.71,employed,Rejected, 0.22 
53,I want to purchase land to start an organic farming venture.,"? 38,033.00",550,10338,76.82,employed,Rejected, 0.27 
54,I need a loan to pay for a down payment on my first home.,"? 162,401.00",609,106788,27.76,employed,Rejected, 0.66 
55,I need money to purchase a food truck and start my own business.,"? 193,903.00",406,70328,7.12,employed,Rejected, 0.36 
56,I want to make home improvements like installing solar panels.,"? 165,024.00",459,37930,13.85,employed,Rejected, 0.23 
57,I need a loan to support my side business selling handmade candles.,"? 73,371.00",570,33016,51.96,unemployed,Rejected, 0.45 
58,"I need financial help to cover wedding expenses, including the venue and catering.","? 44,195.00",733,3889,52.34,employed,Rejected, 0.09 
59,I need money to buy new tools and materials for my woodworking business.,"? 54,293.00",568,29956,28.71,unemployed,Rejected, 0.55 
60,I want to consolidate my credit card debts into one manageable payment.,"? 49,327.00",377,36755,29.94,employed,Rejected, 0.75 
61,I need a loan to pay for my son's medical treatment and therapy.,"? 172,701.00",451,34409,19.2,employed,Rejected, 0.20 
62,I need a loan to cover hospital bills after an unexpected surgery.,"? 115,591.00",340,28535,24.61,employed,Rejected, 0.25 
63,I want to make home improvements like installing solar panels.,"? 112,714.00",716,21257,40.52,employed,Approved, 0.19 
64,I need a loan to buy a motorcycle for daily transportation.,"? 66,413.00",722,12754,9.97,unemployed,Rejected, 0.19 
65,I need money to invest in a franchise business opportunity.,"? 195,612.00",554,42732,11.49,employed,Approved, 0.22 
66,I need money to open a small bookstore and café.,"? 30,151.00",781,7539,64.93,unemployed,Rejected, 0.25 
67,I want to purchase land to start an organic farming venture.,"? 100,003.00",533,4101,19.61,employed,Rejected, 0.04 
68,I need a loan to pay for legal fees related to my business license.,"? 106,051.00",585,37585,9,unemployed,Rejected, 0.35 
69,I need money to publish and market my self-written book.,"? 124,773.00",849,4617,21.4,employed,Approved, 0.04 
70,I need a loan to cover moving expenses after being transferred to another city.,"? 66,810.00",571,8104,11.24,unemployed,Rejected, 0.12 
71,I want to purchase land to start an organic farming venture.,"? 102,228.00",746,68033,43.75,employed,Rejected, 0.67 
72,I need funds to pay for my pilot training program.,"? 171,149.00",494,12635,12.67,unemployed,Rejected, 0.07 
73,I need a loan to start a small business.,"? 156,293.00",501,57531,18.47,employed,Rejected, 0.37 
74,I need money to buy new tools and materials for my woodworking business.,"? 183,356.00",621,33669,26.44,unemployed,Rejected, 0.18 
75,I want to start a local transportation service and need funds for a van.,"? 101,077.00",718,53743,26.09,unemployed,Rejected, 0.53 
76,I want to invest in livestock to start a small dairy farm.,"? 70,289.00",730,25847,69.11,employed,Rejected, 0.37 
77,I need money to purchase a food truck and start my own business.,"? 126,450.00",300,38606,19.7,employed,Rejected, 0.31 
78,I need financial assistance to launch my own YouTube content creation business.,"? 172,039.00",629,116811,20.62,unemployed,Rejected, 0.68 
79,I need a loan to repair my car after an accident.,"? 154,001.00",784,87356,10.47,employed,Approved, 0.57 
80,I need a loan to pay for a digital marketing course to grow my business.,"? 155,122.00",643,108272,7.17,employed,Rejected, 0.70 
81,I need a loan to cover hospital bills after an unexpected surgery.,"? 78,888.00",503,2600,18.58,employed,Rejected, 0.03 
82,I need money to pay for a vocational training course in plumbing.,"? 144,554.00",374,55321,24.11,employed,Rejected, 0.38 
83,I need funds to pay for my pilot training program.,"? 149,598.00",709,20342,14.03,employed,Approved, 0.14 
84,I want to make home improvements like installing solar panels.,"? 131,449.00",524,92214,12.57,unemployed,Rejected, 0.70 
85,"I need financial help to cover wedding expenses, including the venue and catering.","? 166,120.00",555,120658,7.8,employed,Rejected, 0.73 
86,I want to start a small roadside food stall and need funds for equipment.,"? 195,001.00",843,84177,21.35,unemployed,Rejected, 0.43 
87,I want to start a local transportation service and need funds for a van.,"? 131,867.00",756,98472,11.7,unemployed,Rejected, 0.75 
88,I need money to invest in stock trading and portfolio building.,"? 87,945.00",553,37347,53.2,unemployed,Rejected, 0.42 
89,I need a loan to finance my MBA and career advancement.,"? 91,984.00",750,38450,10.96,employed,Approved, 0.42 
90,I need money to start a home-based catering business.,"? 108,040.00",627,11561,37.39,employed,Approved, 0.11 
91,I need financial help to pay off my high-interest payday loans.,"? 80,623.00",692,47295,18.62,employed,Approved, 0.59 
92,I want to expand my small online clothing store.,"? 128,755.00",717,72121,20.72,unemployed,Rejected, 0.56 
93,I want to buy a car for my rideshare business on Uber.,"? 36,322.00",511,13762,89.57,employed,Rejected, 0.38 
94,I need money to open a small bookstore and café.,"? 145,037.00",306,40139,19.34,unemployed,Rejected, 0.28 
95,I want to buy a car for my rideshare business on Uber.,"? 161,091.00",525,29760,22.97,unemployed,Rejected, 0.18 
96,I need financial assistance to launch my own YouTube content creation business.,"? 147,308.00",329,45057,20.69,unemployed,Rejected, 0.31 
97,I need funds to stock inventory for my new retail store.,"? 142,523.00",430,71008,32.12,employed,Rejected, 0.50 
98,I need financial support to open a daycare center in my neighborhood.,"? 175,161.00",327,113358,6,employed,Rejected, 0.65 
99,I want to start a small roadside food stall and need funds for equipment.,"? 67,639.00",351,25844,32.6,unemployed,Rejected, 0.38 
100,I need a loan to repair my car after an accident.,"? 139,196.00",634,100775,19.48,unemployed,Rejected, 0.72 
101,I need funds to upgrade my computer and buy software for freelance work.,"? 130,510.00",558,62644,7.94,employed,Approved, 0.48 
102,I need money to launch my own tech startup focused on AI solutions.,"? 33,653.00",658,22303,58.52,employed,Rejected, 0.66 
103,I need a loan to buy a reliable used car for work commuting.,"? 28,134.00",553,1667,64.21,employed,Rejected, 0.06 
104,I need a loan to finance my MBA and career advancement.,"? 53,088.00",784,8496,92.06,employed,Rejected, 0.16 
105,I want to start a small roadside food stall and need funds for equipment.,"? 87,172.00",677,16012,18.35,employed,Approved, 0.18 
106,I need a loan to cover hospital bills after an unexpected surgery.,"? 48,337.00",326,25596,52.64,unemployed,Rejected, 0.53 
107,I need funds to buy new furniture and appliances for my house.,"? 39,922.00",548,23845,29.25,unemployed,Rejected, 0.60 
108,I need financial assistance to buy farm equipment for my agricultural business.,"? 168,355.00",342,113296,16.49,unemployed,Rejected, 0.67 
109,I want to expand my small online clothing store.,"? 152,634.00",649,112355,3.82,unemployed,Rejected, 0.74 
110,I need a loan to buy a truck and start a moving business.,"? 47,666.00",743,31129,60.29,employed,Rejected, 0.65 
111,I need financial assistance to launch my own YouTube content creation business.,"? 66,173.00",834,18700,71.97,unemployed,Rejected, 0.28 
112,I want to start a small roadside food stall and need funds for equipment.,"? 134,183.00",574,33177,19.47,employed,Approved, 0.25 
113,I need funds to upgrade my computer and buy software for freelance work.,"? 138,175.00",549,75691,25.66,unemployed,Rejected, 0.55 
114,I need a loan to support my side business selling handmade candles.,"? 27,523.00",806,6958,95.56,unemployed,Rejected, 0.25 
115,I need a loan to repair my car after an accident.,"? 113,015.00",564,37655,24.16,unemployed,Rejected, 0.33 
116,I want to consolidate my credit card debts into one manageable payment.,"? 155,430.00",495,32635,6.83,unemployed,Rejected, 0.21 
117,I need a loan to buy a truck and start a moving business.,"? 165,536.00",546,129665,21.87,unemployed,Rejected, 0.78 
118,I need money to cover unexpected medical expenses from surgery.,"? 44,393.00",601,27502,43.98,employed,Rejected, 0.62 
119,I need a loan to cover hospital bills after an unexpected surgery.,"? 194,053.00",677,146089,18.56,unemployed,Rejected, 0.75 
120,I need funds to expand my home-based bakery to a physical store.,"? 164,281.00",638,93124,17.08,unemployed,Rejected, 0.57 
121,I need money to start a home-based catering business.,"? 100,379.00",557,16814,20.03,employed,Approved, 0.17 
122,I need funds to launch my handmade jewelry brand online.,"? 51,340.00",848,13552,33.37,employed,Approved, 0.26 
123,I need a loan to build a website and market my freelance services.,"? 92,482.00",837,38093,47.7,employed,Approved, 0.41 
124,I need a loan to install a security system at home.,"? 97,659.00",532,24519,29.34,unemployed,Rejected, 0.25 
125,I want to consolidate my credit card debts into one manageable payment.,"? 160,020.00",429,6965,14.36,employed,Rejected, 0.04 
126,I need financial support to renovate my rental apartment.,"? 53,103.00",802,1803,22.08,unemployed,Rejected, 0.03 
127,I need money to purchase specialized tools for my auto repair shop.,"? 145,492.00",751,25164,18.78,employed,Approved, 0.17 
128,I need financial help to build my dream home in the countryside.,"? 145,233.00",416,53521,6.39,unemployed,Rejected, 0.37 
129,I need money to purchase updated equipment for my photography business.,"? 171,262.00",354,40111,8.73,unemployed,Rejected, 0.23 
130,I need a loan to cover emergency expenses after a natural disaster.,"? 85,061.00",421,55548,48.87,employed,Rejected, 0.65 
131,I need a loan to upgrade my small music studio with better equipment.,"? 119,713.00",761,39974,28.41,unemployed,Rejected, 0.33 
132,I need a loan to cover hospital bills after an unexpected surgery.,"? 169,062.00",361,27013,26.59,employed,Rejected, 0.16 
133,I need a loan to repair my car after an accident.,"? 89,375.00",383,32439,17.11,employed,Rejected, 0.36 
134,I need money to purchase updated equipment for my photography business.,"? 61,034.00",302,30524,52.06,unemployed,Rejected, 0.50 
135,I need financial support to renovate my rental apartment.,"? 28,556.00",537,10264,83.63,unemployed,Rejected, 0.36 
136,I need money to purchase updated equipment for my photography business.,"? 81,190.00",570,39652,56.61,employed,Rejected, 0.49 
137,I need funds to expand my home-based bakery to a physical store.,"? 50,087.00",530,10764,94.72,unemployed,Rejected, 0.21 
138,I need a loan to develop and launch my mobile app startup.,"? 38,719.00",361,26972,41,unemployed,Rejected, 0.70 
139,I need a loan to pay for a digital marketing course to grow my business.,"? 135,121.00",427,91266,26.43,unemployed,Rejected, 0.68 
140,I need a loan to pay for legal fees related to my business license.,"? 91,367.00",812,65722,44.2,unemployed,Rejected, 0.72 
141,I need a loan to cover emergency expenses after a natural disaster.,"? 176,771.00",340,85494,18.85,unemployed,Rejected, 0.48 
142,"I need a loan for home renovation, including a kitchen remodel.","? 43,940.00",534,2359,111.95,unemployed,Rejected, 0.05 
143,I need a loan to buy a reliable used car for work commuting.,"? 65,925.00",781,43697,59.17,unemployed,Rejected, 0.66 
144,I need funds to upgrade my computer and buy software for freelance work.,"? 67,576.00",746,33225,68.96,employed,Rejected, 0.49 
145,I need money to purchase specialized tools for my auto repair shop.,"? 111,215.00",718,43081,24.14,employed,Approved, 0.39 
146,I need a loan to buy a motorcycle for daily transportation.,"? 106,456.00",721,38777,35.2,unemployed,Rejected, 0.36 
147,I need funds to pay for my daughter's college tuition.,"? 139,229.00",390,34082,18.4,unemployed,Rejected, 0.24 
148,I need a loan to pay for an international vacation with my family.,"? 125,952.00",826,87200,4.03,unemployed,Rejected, 0.69 
149,I need money to invest in a franchise business opportunity.,"? 34,209.00",492,12854,113.93,unemployed,Rejected, 0.38 
150,I need a loan to pay for a down payment on my first home.,"? 33,529.00",508,18996,67.11,employed,Rejected, 0.57 
151,I need a loan to pay for a digital marketing course to grow my business.,"? 134,849.00",796,4783,9.61,employed,Approved, 0.04 
152,I need a loan to buy a motorcycle for daily transportation.,"? 101,461.00",314,54476,40.6,employed,Rejected, 0.54 
153,I need a loan to pay off overdue electricity and water bills.,"? 49,743.00",772,11090,25.53,unemployed,Rejected, 0.22 
154,I need financial support to renovate my rental apartment.,"? 153,397.00",579,110408,21.01,unemployed,Rejected, 0.72 
155,I need money to purchase specialized tools for my auto repair shop.,"? 83,892.00",767,19958,49.02,unemployed,Rejected, 0.24 
156,I need a loan to install a security system at home.,"? 177,123.00",820,19300,7.87,unemployed,Rejected, 0.11 
157,I want to buy a car for my rideshare business on Uber.,"? 109,096.00",819,1336,20.63,unemployed,Rejected, 0.01 
158,I need money to purchase a food truck and start my own business.,"? 173,862.00",801,118059,8.48,unemployed,Rejected, 0.68 
159,I want to purchase land to start an organic farming venture.,"? 107,147.00",686,43176,32.52,employed,Approved, 0.40 
160,I need a loan to finance my MBA and career advancement.,"? 169,893.00",692,108682,11.95,employed,Rejected, 0.64 
161,I need funds to launch my handmade jewelry brand online.,"? 143,987.00",690,87991,21.04,employed,Rejected, 0.61 
162,I need financial support to pay for my son's football training program.,"? 29,704.00",429,20339,127.65,unemployed,Rejected, 0.68 
163,I need money to refinance my home loan at a lower interest rate.,"? 135,423.00",402,60890,29.14,employed,Rejected, 0.45 
164,I need a loan to develop and launch my mobile app startup.,"? 127,473.00",458,62537,7.77,unemployed,Rejected, 0.49 
165,I need a loan to support my side business selling handmade candles.,"? 183,383.00",707,22054,25.95,unemployed,Rejected, 0.12 
166,I need financial help to install a swimming pool in my backyard.,"? 119,617.00",624,95203,38.52,unemployed,Rejected, 0.80 
167,I need money to launch my own tech startup focused on AI solutions.,"? 29,410.00",370,21681,69.31,unemployed,Rejected, 0.74 
168,I want to invest in a rental property as a source of passive income.,"? 43,692.00",744,7586,26.21,unemployed,Rejected, 0.17 
169,I need funds to stock inventory for my new retail store.,"? 98,503.00",329,43516,8.14,employed,Rejected, 0.44 
170,I need financial support to renovate my rental apartment.,"? 113,969.00",683,20080,29.15,employed,Approved, 0.18 
171,I want to start a mobile pet grooming service and need funds for supplies.,"? 128,016.00",484,23946,12.61,employed,Rejected, 0.19 
172,I need money to open a small bookstore and café.,"? 182,453.00",546,38517,20.62,employed,Rejected, 0.21 
173,I want to start a small roadside food stall and need funds for equipment.,"? 187,222.00",560,67932,18.76,employed,Approved, 0.36 
174,I want to start a small roadside food stall and need funds for equipment.,"? 95,400.00",461,58898,10.31,unemployed,Rejected, 0.62 
175,I need money to purchase a food truck and start my own business.,"? 187,493.00",734,120756,11.41,unemployed,Rejected, 0.64 
176,I need funds to buy new furniture and appliances for my house.,"? 120,845.00",794,32091,9.92,unemployed,Rejected, 0.27 
177,I need financial help to cover maternity and delivery expenses.,"? 170,683.00",602,6751,14.27,unemployed,Rejected, 0.04 
178,I need funds to upgrade my computer and buy software for freelance work.,"? 22,122.00",350,17276,202.25,unemployed,Rejected, 0.78 
179,I want to invest in a rental property as a source of passive income.,"? 179,138.00",660,50841,10.8,unemployed,Rejected, 0.28 
180,I need money to cover unexpected legal expenses related to a dispute.,"? 184,691.00",399,11334,24.97,unemployed,Rejected, 0.06 
181,I need a loan to pay for a down payment on my first home.,"? 28,746.00",673,3953,47.35,unemployed,Rejected, 0.14 
182,I want to pay off my payday loans and switch to a lower-interest option.,"? 128,921.00",479,18322,14.09,unemployed,Rejected, 0.14 
183,I want to start a mobile pet grooming service and need funds for supplies.,"? 151,542.00",579,34681,10.41,unemployed,Rejected, 0.23 
184,I need financial support to renovate my rental apartment.,"? 108,792.00",417,10869,32.81,employed,Rejected, 0.10 
185,I need a loan to pay off overdue electricity and water bills.,"? 197,294.00",706,96885,21.05,employed,Approved, 0.49 
186,I need financial support to open a daycare center in my neighborhood.,"? 23,648.00",570,5049,169.84,unemployed,Rejected, 0.21 
187,I need a loan to pay for my son's medical treatment and therapy.,"? 196,377.00",568,100883,22.05,unemployed,Rejected, 0.51 
188,I want to make home improvements like installing solar panels.,"? 196,904.00",539,7560,18.23,unemployed,Rejected, 0.04 
189,I need a loan to pay off overdue electricity and water bills.,"? 189,778.00",364,122704,24.58,unemployed,Rejected, 0.65 
190,I need money to invest in a franchise business opportunity.,"? 50,585.00",443,3438,15.76,unemployed,Rejected, 0.07 
191,I need financial support to pay for my son's football training program.,"? 50,440.00",399,36228,40.42,employed,Rejected, 0.72 
192,I need funds to pay for my pilot training program.,"? 138,919.00",679,98404,35.23,unemployed,Rejected, 0.71 
193,I need financial help to pay off my high-interest payday loans.,"? 128,759.00",401,81694,28.79,unemployed,Rejected, 0.63 
194,I need funds to upgrade my computer and buy software for freelance work.,"? 28,576.00",679,15528,67.32,unemployed,Rejected, 0.54 
195,I need a loan to finance my MBA and career advancement.,"? 115,075.00",401,49147,43.39,unemployed,Rejected, 0.43 
196,I need a loan to relocate to a new city after getting a job offer.,"? 124,369.00",582,17011,14.02,unemployed,Rejected, 0.14 
197,I need funds to enroll in a professional certification program.,"? 193,740.00",517,6598,24.29,employed,Rejected, 0.03 
198,I need money to buy new tools and materials for my woodworking business.,"? 83,850.00",428,27896,50.09,employed,Rejected, 0.33 
199,I need money to cover funeral expenses for a loved one.,"? 173,716.00",521,87129,11.67,employed,Rejected, 0.50 
200,I need a loan to start a small business.,"? 92,685.00",448,71807,14.59,unemployed,Rejected, 0.77 
201,I need money to cover adoption fees and related expenses.,"? 48,816.00",326,1973,27.94,unemployed,Rejected, 0.04 
202,I need a loan to finance my MBA and career advancement.,"? 174,364.00",631,46677,3.46,unemployed,Rejected, 0.27 
203,"I need financial help to cover wedding expenses, including the venue and catering.","? 53,228.00",731,8448,74.17,employed,Rejected, 0.16 
204,I need money to purchase specialized tools for my auto repair shop.,"? 137,512.00",670,78812,28.1,employed,Approved, 0.57 
205,I need money to invest in stock trading and portfolio building.,"? 152,078.00",526,6683,29.79,unemployed,Rejected, 0.04 
206,I need financial help to cover unexpected veterinary bills for my pet.,"? 188,647.00",331,126562,4.76,unemployed,Rejected, 0.67 
207,I need funds to expand my home-based bakery to a physical store.,"? 199,856.00",410,117277,18.58,employed,Rejected, 0.59 
208,I need a loan to cover emergency expenses after a natural disaster.,"? 104,439.00",451,17540,8.91,unemployed,Rejected, 0.17 
209,I want to pay off my payday loans and switch to a lower-interest option.,"? 119,851.00",843,60469,20.3,unemployed,Rejected, 0.50 
210,I need money to refinance my home loan at a lower interest rate.,"? 49,992.00",520,30593,66.38,employed,Rejected, 0.61 
211,I need money to invest in a franchise business opportunity.,"? 108,848.00",764,55524,28.6,employed,Approved, 0.51 
212,I need funds to launch my handmade jewelry brand online.,"? 131,873.00",620,34408,36.84,unemployed,Rejected, 0.26 
213,I need financial help to pay off my high-interest payday loans.,"? 144,326.00",368,110022,7.61,employed,Rejected, 0.76 
214,I need funds to enroll in a professional certification program.,"? 133,213.00",398,18054,22.09,employed,Rejected, 0.14 
215,I need money to buy new tools and materials for my woodworking business.,"? 195,639.00",425,93693,16.32,unemployed,Rejected, 0.48 
216,"I need financial help to cover wedding expenses, including the venue and catering.","? 95,400.00",619,14579,29.4,employed,Approved, 0.15 
217,I need financial help to pay off my high-interest payday loans.,"? 192,159.00",793,29368,10.25,unemployed,Rejected, 0.15 
218,I need a loan to pay for my son's medical treatment and therapy.,"? 50,116.00",585,15821,85.05,unemployed,Rejected, 0.32 
219,"I need a loan for home renovation, including a kitchen remodel.","? 179,644.00",573,48294,3.84,unemployed,Rejected, 0.27 
220,I need a loan to cover hospital bills after an unexpected surgery.,"? 109,082.00",659,24777,4.95,employed,Approved, 0.23 
221,I need a loan to pay for legal fees related to my business license.,"? 38,241.00",445,2004,121.58,employed,Rejected, 0.05 
222,I want to start a mobile pet grooming service and need funds for supplies.,"? 76,395.00",685,30730,42.56,unemployed,Rejected, 0.40 
223,I need a loan to buy a motorcycle for daily transportation.,"? 117,007.00",619,75395,22.44,employed,Rejected, 0.64 
224,"I need financial help to cover wedding expenses, including the venue and catering.","? 60,784.00",461,4261,74.84,employed,Rejected, 0.07 
225,I need money to start a home-based catering business.,"? 136,159.00",734,80570,27.05,unemployed,Rejected, 0.59 
226,I want to buy a car for my rideshare business on Uber.,"? 91,609.00",520,15918,42.11,unemployed,Rejected, 0.17 
227,I need financial assistance to launch my own YouTube content creation business.,"? 49,069.00",590,32891,100.77,unemployed,Rejected, 0.67 
228,I need a loan to buy a reliable used car for work commuting.,"? 77,807.00",704,4590,56.91,employed,Rejected, 0.06 
229,I need money to cover funeral expenses for a loved one.,"? 99,015.00",516,34491,14.13,unemployed,Rejected, 0.35 
230,I want to pay off my payday loans and switch to a lower-interest option.,"? 51,453.00",307,29223,73.07,employed,Rejected, 0.57 
231,I want to invest in livestock to start a small dairy farm.,"? 119,669.00",845,66570,16.78,unemployed,Rejected, 0.56 
232,I need money to purchase updated equipment for my photography business.,"? 124,089.00",343,3456,27.07,unemployed,Rejected, 0.03 
233,I need money to purchase updated equipment for my photography business.,"? 102,066.00",739,54008,41.72,unemployed,Rejected, 0.53 
234,I need financial support to renovate my rental apartment.,"? 50,192.00",714,22284,12.68,employed,Approved, 0.44 
235,I need financial help to cover unexpected veterinary bills for my pet.,"? 114,857.00",390,14875,29.27,employed,Rejected, 0.13 
236,I need financial assistance to launch my own YouTube content creation business.,"? 174,369.00",710,21616,22.56,unemployed,Rejected, 0.12 
237,I need a loan to cover hospital bills after an unexpected surgery.,"? 109,001.00",526,23037,24.61,employed,Rejected, 0.21 
238,I need money to publish and market my self-written book.,"? 185,996.00",416,134680,21.38,employed,Rejected, 0.72 
239,I want to purchase land to start an organic farming venture.,"? 112,038.00",451,14474,18.28,employed,Rejected, 0.13 
240,I need financial help to build my dream home in the countryside.,"? 71,713.00",477,11018,62.02,employed,Rejected, 0.15 
241,I need money to cover adoption fees and related expenses.,"? 184,613.00",805,118677,19.18,unemployed,Rejected, 0.64 
242,I need funds to launch my handmade jewelry brand online.,"? 59,572.00",750,31731,15.91,unemployed,Rejected, 0.53 
243,I need money to purchase a food truck and start my own business.,"? 92,004.00",357,67497,30.5,employed,Rejected, 0.73 
244,I need a loan to cover hospital bills after an unexpected surgery.,"? 141,043.00",762,8456,5.29,unemployed,Rejected, 0.06 
245,I need a loan to pay for a digital marketing course to grow my business.,"? 40,114.00",392,20466,112.94,unemployed,Rejected, 0.51 
246,I want to start a small roadside food stall and need funds for equipment.,"? 172,129.00",342,50345,20.03,unemployed,Rejected, 0.29 
247,I need money to purchase specialized tools for my auto repair shop.,"? 151,430.00",454,60050,5.98,employed,Rejected, 0.40 
248,I need a loan to support my side business selling handmade candles.,"? 42,106.00",816,6654,112.44,employed,Rejected, 0.16 
249,I need money to pay for a vocational training course in plumbing.,"? 134,755.00",749,69517,29.2,employed,Approved, 0.52 
250,I need a loan to pay for a much-needed vacation after years of saving.,"? 117,740.00",589,54578,25.81,unemployed,Rejected, 0.46 
251,"I need financial help to cover wedding expenses, including the venue and catering.","? 185,383.00",642,87426,5.03,employed,Approved, 0.47 
252,I need funds to pay for my pilot training program.,"? 94,487.00",558,20709,50.83,unemployed,Rejected, 0.22 
253,I need a loan to cover emergency expenses after a natural disaster.,"? 172,761.00",444,82325,16.16,unemployed,Rejected, 0.48 
254,I want to invest in livestock to start a small dairy farm.,"? 175,986.00",386,99744,14.37,unemployed,Rejected, 0.57 
